month,channel,spend,impressions,clicks,conversions,revenue_attributed
2023-01,Google Ads,10496.18,385137,12966,534,43841.81
2023-01,Meta Ads,7483.09,382004,4272,75,25901.43
2023-01,TikTok Ads,1359.46,122334,1007,19,2769.17
2023-01,Email Marketing,1742.71,371341,10617,482,18286.9
2023-01,Direct Mail,3397.11,74552,1165,42,12675.94
2023-02,Google Ads,9070.28,340431,10427,541,52269.53
2023-02,Meta Ads,6582.42,394525,5655,170,22425.18
2023-02,TikTok Ads,1259.18,114028,886,16,3639.9
2023-02,Email Marketing,1578.35,298133,6192,428,16002.69
2023-02,Direct Mail,2621.76,62148,833,24,8267.38
2023-03,Google Ads,9921.31,378430,10723,401,41584.99
2023-03,Meta Ads,8250.59,433032,4639,113,30003.55
2023-03,TikTok Ads,1169.49,106712,790,12,3023.02
2023-03,Email Marketing,1712.67,361573,8303,440,13922.18
2023-03,Direct Mail,3673.17,88284,1361,34,11658.48
2023-04,Google Ads,12612.98,487028,17282,656,61223.62
2023-04,Meta Ads,10139.6,517290,6878,221,32174.99
2023-04,TikTok Ads,1654.44,150967,1428,23,4453.71
2023-04,Email Marketing,2266.76,463956,11604,627,16985.71
2023-04,Direct Mail,4055.88,98798,1186,26,13214.63
2023-05,Google Ads,12569.35,426541,12510,585,53840.01
2023-05,Meta Ads,9290.58,483483,5568,172,35813.31
2023-05,TikTok Ads,1897.31,143767,937,18,4791.39
2023-05,Email Marketing,2318.21,459707,11289,607,21967.12
2023-05,Direct Mail,5017.96,111496,1975,52,18498.84
2023-06,Google Ads,12725.77,443385,14956,595,67856.82
2023-06,Meta Ads,9430.1,486620,5030,116,29706.27
2023-06,TikTok Ads,1505.51,124982,821,16,4115.96
2023-06,Email Marketing,2192.38,415649,9116,574,19354.17
2023-06,Direct Mail,4524.36,104061,1300,45,16362.44
2023-07,Google Ads,12088.91,396479,16507,633,64411.77
2023-07,Meta Ads,9305.2,514233,4997,149,39769.36
2023-07,TikTok Ads,1513.65,137617,1236,20,4272.57
2023-07,Email Marketing,1697.01,359853,8822,520,18265.79
2023-07,Direct Mail,3560.11,71594,1185,34,12819.75
2023-08,Google Ads,9298.63,348602,9884,400,49389.98
2023-08,Meta Ads,6934.64,346764,4041,100,25905.77
2023-08,TikTok Ads,1461.76,132194,1126,22,3838.3
2023-08,Email Marketing,1516.73,294170,7122,376,12964.5
2023-08,Direct Mail,3370.24,75460,1034,34,12027.12
2023-09,Google Ads,11951.31,407190,11785,565,59183.26
2023-09,Meta Ads,7383.44,401249,4235,124,31590.66
2023-09,TikTok Ads,1336.67,105411,836,11,2861.34
2023-09,Email Marketing,2170.1,472784,12148,573,18402.06
2023-09,Direct Mail,3978.08,80694,1008,26,11766.45
2023-10,Google Ads,14258.58,473990,18958,746,82921.49
2023-10,Meta Ads,9928.79,518575,6912,215,32636.03
2023-10,TikTok Ads,1750.99,153074,1359,26,3692.78
2023-10,Email Marketing,2377.87,443139,11529,690,21677.44
2023-10,Direct Mail,4235.63,96854,1633,60,13445.13
2023-11,Google Ads,15523.15,531107,15113,778,78273.98
2023-11,Meta Ads,11286.59,640937,7671,159,46286.26
2023-11,TikTok Ads,2070.68,187111,1609,24,5050.63
2023-11,Email Marketing,2659.68,560721,15418,849,27949.9
2023-11,Direct Mail,5751.61,125468,1807,70,14845.5
2023-12,Google Ads,16693.17,651439,26642,935,100638.29
2023-12,Meta Ads,14994.13,793310,9679,178,61038.16
2023-12,TikTok Ads,2320.89,198254,1849,32,6206.61
2023-12,Email Marketing,2779.71,598886,16905,1076,22745.44
2023-12,Direct Mail,5633.47,116464,1730,38,14950.36
2024-01,Google Ads,12363.36,484075,14507,459,76785.48
2024-01,Meta Ads,9566.64,505981,7178,189,38227.11
2024-01,TikTok Ads,4389.37,398004,2643,30,15754.88
2024-01,Email Marketing,1685.29,344964,8158,580,17232.05
2024-01,Direct Mail,3349.83,72656,996,34,9961.69
2024-02,Google Ads,11766.94,448711,15419,610,52537.36
2024-02,Meta Ads,8364.61,432216,5160,128,30553.24
2024-02,TikTok Ads,4098.26,345529,2856,37,13743.39
2024-02,Email Marketing,1710.2,346048,7301,371,16022.9
2024-02,Direct Mail,4042.57,98711,1384,48,13321.59
2024-03,Google Ads,12600.09,413912,14856,470,71898.12
2024-03,Meta Ads,9435.62,475857,5904,132,30704.5
2024-03,TikTok Ads,5038.05,418316,2786,38,12404.44
2024-03,Email Marketing,2097.04,445480,9349,675,16898.08
2024-03,Direct Mail,4513.13,95112,1351,39,15495.74
2024-04,Google Ads,15151.56,530859,18049,652,65326.11
2024-04,Meta Ads,12761.99,763959,8353,183,46432.26
2024-04,TikTok Ads,6465.62,529444,4870,53,17237.54
2024-04,Email Marketing,2369.21,473199,11894,697,19382.02
2024-04,Direct Mail,4642.02,104173,1433,50,15950.57
2024-05,Google Ads,13705.84,454649,18116,603,77690.14
2024-05,Meta Ads,12717.79,773793,10163,326,47032.07
2024-05,TikTok Ads,6312.73,542651,4371,53,17310.76
2024-05,Email Marketing,2873.99,575908,14994,1017,29851.71
2024-05,Direct Mail,5398.48,117243,1584,49,19419.44
2024-06,Google Ads,14517.14,524240,21400,962,61461.95
2024-06,Meta Ads,9522.11,529235,6566,124,35797.26
2024-06,TikTok Ads,5381.72,434622,2795,36,18602.35
2024-06,Email Marketing,2641.34,499485,14507,874,25297.16
2024-06,Direct Mail,4432.6,94870,1413,36,12569.99
2024-07,Google Ads,12281.85,461770,16622,729,52590.01
2024-07,Meta Ads,10161.01,610743,7111,229,44250.78
2024-07,TikTok Ads,4198.72,328932,2538,39,14170.63
2024-07,Email Marketing,2080.94,424183,8650,372,18294.68
2024-07,Direct Mail,4846.86,106554,1498,45,18162.62
2024-08,Google Ads,13850.98,477575,15294,497,79637.87
2024-08,Meta Ads,9879.56,562591,8007,226,37478.01
2024-08,TikTok Ads,4660.11,361720,3325,44,14073.35
2024-08,Email Marketing,2248.67,455218,10347,664,21652.9
2024-08,Direct Mail,3563.63,85182,1497,35,13126.96
2024-09,Google Ads,14271.75,533757,19640,601,86610.78
2024-09,Meta Ads,11409.41,662679,8305,157,42658.73
2024-09,TikTok Ads,5136.74,461858,4396,85,15863.45
2024-09,Email Marketing,2147.03,471060,10747,753,22284.17
2024-09,Direct Mail,4062.27,92882,1195,30,15127.25
2024-10,Google Ads,18189.05,650790,24444,763,103454.47
2024-10,Meta Ads,12690,729425,9730,315,56590.88
2024-10,TikTok Ads,5162.32,435378,3000,32,13090.07
2024-10,Email Marketing,2548.15,499994,14790,769,21879.13
2024-10,Direct Mail,4647.14,103717,1690,64,13358.46
2024-11,Google Ads,22127.05,859406,34346,1776,138071.4
2024-11,Meta Ads,12431.73,623197,6331,135,48018.4
2024-11,TikTok Ads,7830.48,670130,5179,58,25949.47
2024-11,Email Marketing,3347.69,666654,19692,1157,26814.89
2024-11,Direct Mail,6784.59,137259,2106,62,20103.15
2024-12,Google Ads,19149.11,664545,24965,1106,105858.37
2024-12,Meta Ads,17207.06,936299,9301,243,56978.87
2024-12,TikTok Ads,8924.59,801142,6996,118,26309.97
2024-12,Email Marketing,3565.3,750183,17175,1017,35171.8
2024-12,Direct Mail,7021.54,167025,2640,84,20675.63
2025-01,Google Ads,11980.68,393187,13901,523,61433.34
2025-01,Meta Ads,9030.88,528177,7400,135,32212.7
2025-01,TikTok Ads,8233.05,748922,5507,65,32196.11
2025-01,Email Marketing,2076.49,430785,12087,885,18500.17
2025-01,Direct Mail,4024.7,81700,1354,30,14791.83
2025-02,Google Ads,11860.2,418232,13171,562,63689.57
2025-02,Meta Ads,8913.75,453485,5506,107,35896.82
2025-02,TikTok Ads,8004.66,607853,4594,55,28383.71
2025-02,Email Marketing,1886.58,411229,10733,550,17962.99
2025-02,Direct Mail,3755.33,83372,1467,41,14196.71
2025-03,Google Ads,15591.17,532982,16363,676,70456.28
2025-03,Meta Ads,11282.39,576730,7171,229,46809.24
2025-03,TikTok Ads,8931.95,688670,4817,67,26063.38
2025-03,Email Marketing,2314.31,508760,10864,684,23164.07
2025-03,Direct Mail,5795.1,120430,2045,65,17373.58
2025-04,Google Ads,19580.69,727781,23577,761,116326
2025-04,Meta Ads,14238.59,773793,10504,218,64746.19
2025-04,TikTok Ads,9580.79,799288,6057,84,38561.3
2025-04,Email Marketing,3109.17,627350,18090,1072,30099.84
2025-04,Direct Mail,5477.64,118956,1849,44,17552.61
2025-05,Google Ads,16940.36,580761,23389,771,82427.2
2025-05,Meta Ads,15820.52,921150,12382,283,71372.56
2025-05,TikTok Ads,11983.84,1071601,8803,149,45669.12
2025-05,Email Marketing,2634.9,521968,14842,668,27409.34
2025-05,Direct Mail,6417.33,147352,1831,68,20284.2
2025-06,Google Ads,18203.01,643238,23599,963,100675.52
2025-06,Meta Ads,11433.94,673649,7259,167,41065.65
2025-06,TikTok Ads,11926.79,979168,6316,103,43804.17
2025-06,Email Marketing,2943.8,552086,14398,740,30842.75
2025-06,Direct Mail,5722.83,121182,2071,64,17778.1
2025-07,Google Ads,15893.7,544253,17170,777,79584.26
2025-07,Meta Ads,10987.65,663799,7946,230,46174.93
2025-07,TikTok Ads,9267.51,814437,7634,110,27893.74
2025-07,Email Marketing,2143.96,421396,12040,711,21602.53
2025-07,Direct Mail,5414.01,126263,1567,58,18823.06
2025-08,Google Ads,12364.79,484540,16868,595,68084.94
2025-08,Meta Ads,11234.21,638227,7946,156,45107.99
2025-08,TikTok Ads,8240.31,658584,4897,75,31328.26
2025-08,Email Marketing,2177.77,448314,12462,687,18451.17
2025-08,Direct Mail,5344.81,128773,1897,72,14265.63
2025-09,Google Ads,14938.59,550132,16656,692,84812.33
2025-09,Meta Ads,11532.35,683622,9727,314,38238.21
2025-09,TikTok Ads,8629.51,656592,5909,82,34787.63
2025-09,Email Marketing,2964.93,635338,18884,842,30769.51
2025-09,Direct Mail,5972.43,134095,1792,57,19779.44
2025-10,Google Ads,18722.13,628817,18789,626,115491.25
2025-10,Meta Ads,12304.04,719161,8773,227,54003.36
2025-10,TikTok Ads,11591.07,1024558,8850,141,46561
2025-10,Email Marketing,3339.15,644531,18202,1005,25886.5
2025-10,Direct Mail,6761.82,157648,1952,58,17774.39
2025-11,Google Ads,24248.35,924464,29896,1179,135124.73
2025-11,Meta Ads,16087.19,898836,10478,335,60002.66
2025-11,TikTok Ads,12793.48,1038192,6917,128,50175.6
2025-11,Email Marketing,4223.55,870943,24425,1563,33500.1
2025-11,Direct Mail,7373.57,166646,2114,81,19070.7
2025-12,Google Ads,28136.35,1059167,42587,1570,173673.45
2025-12,Meta Ads,20723.05,1044155,14319,357,93231.15
