order_id,customer_id,order_date,channel,store_city,product_id,product_name,category,product_type,quantity,unit_price,line_total,discount_pct
ORD-10001,C0584,2023-01-17,in-store,Chicago,P057,Premium Garden Tool Set,Outdoor & Garden,product,1,69.99,66.49,5
ORD-10002,C1233,2023-01-23,in-store,Chicago,P037,Brass Wall Sconce (pair),Lighting,product,2,109.99,208.98,5
ORD-10003,C1408,2023-01-23,in-store,Denver,P041,Abstract Canvas Print (24x36),Decor,product,2,89.99,179.98,0
ORD-10004,C0640,2023-01-04,in-store,Chicago,P034,Ceramic Floor Lamp,Lighting,product,3,149.99,404.97,10
ORD-10004,C0640,2023-01-04,in-store,Chicago,P026,Upholstered Dining Chair (2),Furniture,product,1,299.99,269.99,10
ORD-10004,C0640,2023-01-04,in-store,Chicago,P007,Handblown Tumbler Set (6),Kitchen & Dining,product,1,54.99,49.49,10
ORD-10005,C1154,2023-01-06,online,,P004,Ceramic Dinner Plate Set (4),Kitchen & Dining,product,1,59.99,59.99,0
ORD-10006,C0640,2023-01-03,online,,P024,Farmhouse Coffee Table,Furniture,product,1,349.99,314.99,10
ORD-10007,C0461,2023-01-24,in-store,Denver,P038,Soy Candle Collection (3),Lighting,product,1,39.99,39.99,0
ORD-10007,C0461,2023-01-24,in-store,Denver,P041,Abstract Canvas Print (24x36),Decor,product,1,89.99,89.99,0
ORD-10007,C0461,2023-01-24,in-store,Denver,P013,Egyptian Cotton Sheet Set (Queen),Bedding & Bath,product,1,129.99,129.99,0
ORD-10008,C0461,2023-01-26,in-store,Chicago,P065,Entryway Coat Rack,Storage,product,1,89.99,89.99,0
ORD-10008,C0461,2023-01-26,in-store,Chicago,P041,Abstract Canvas Print (24x36),Decor,product,1,89.99,89.99,0
ORD-10008,C0461,2023-01-26,in-store,Chicago,P032,Standing Desk Converter,Furniture,product,2,199.99,399.98,0
ORD-10008,C0461,2023-01-26,in-store,Chicago,P060,Seagrass Basket Large,Storage,product,1,39.99,39.99,0
ORD-10009,C0830,2023-01-17,in-store,Miami,P058,Copper Watering Can,Outdoor & Garden,product,2,49.99,99.98,0
ORD-10010,C0715,2023-01-28,online,,P065,Entryway Coat Rack,Storage,product,2,89.99,179.98,0
ORD-10010,C0715,2023-01-28,online,,P001,"Cast Iron Skillet 12""",Kitchen & Dining,product,1,49.99,49.99,0
ORD-10010,C0715,2023-01-28,online,,P011,Espresso Machine,Kitchen & Dining,product,2,299.99,599.98,0
ORD-10010,C0715,2023-01-28,online,,P001,"Cast Iron Skillet 12""",Kitchen & Dining,product,1,49.99,49.99,0
ORD-10010,C0715,2023-01-28,online,,P022,Ceramic Soap Dispenser Set,Bedding & Bath,product,1,24.99,24.99,0
ORD-10011,C1233,2023-01-02,in-store,New York,P028,Velvet Armchair,Furniture,product,1,449.99,449.99,0
ORD-10011,C1233,2023-01-02,in-store,New York,P015,Microfiber Sheet Set (Full),Bedding & Bath,product,1,49.99,49.99,0
ORD-10011,C1233,2023-01-02,in-store,New York,S001,Interior Design Consultation (1hr),Services,service,1,175.00,175.00,0
ORD-10011,C1233,2023-01-02,in-store,New York,P007,Handblown Tumbler Set (6),Kitchen & Dining,product,1,54.99,54.99,0
ORD-10012,C1233,2023-01-04,online,,P066,Bathroom Shelf Unit,Storage,product,1,69.99,69.99,0
ORD-10012,C1233,2023-01-04,online,,P016,Down Comforter (Queen),Bedding & Bath,product,1,199.99,199.99,0
ORD-10013,C1233,2023-01-06,in-store,Nashville,P002,Stainless Steel Pot Set (5pc),Kitchen & Dining,product,1,189.99,189.99,0
ORD-10013,C1233,2023-01-06,in-store,Nashville,P047,Jute Runner 2x8,Decor,product,1,79.99,79.99,0
ORD-10013,C1233,2023-01-06,in-store,Nashville,P044,Ceramic Vase Collection (3),Decor,product,1,59.99,59.99,0
ORD-10013,C1233,2023-01-06,in-store,Nashville,P057,Premium Garden Tool Set,Outdoor & Garden,product,1,69.99,69.99,0
ORD-10013,C1233,2023-01-06,in-store,Nashville,P062,Velvet Hangers (50-pack),Storage,product,2,29.99,59.98,0
ORD-10014,C1250,2023-01-26,in-store,Denver,P046,Hand-Woven Area Rug 5x7,Decor,product,1,249.99,249.99,0
ORD-10016,C1233,2023-01-02,in-store,Portland,P042,Gallery Frame Set (5),Decor,product,1,49.99,49.99,0
ORD-10017,C0510,2023-01-14,in-store,Austin,P007,Handblown Tumbler Set (6),Kitchen & Dining,product,2,54.99,109.98,0
ORD-10017,C0510,2023-01-14,in-store,Austin,P060,Seagrass Basket Large,Storage,product,1,39.99,39.99,0
ORD-10018,C1233,2023-01-13,online,,P043,Oversized Wall Mirror,Decor,product,1,179.99,179.99,0
ORD-10019,C1845,2023-01-28,in-store,Chicago,P030,Bookcase 5-Tier,Furniture,product,1,189.99,180.49,5
ORD-10019,C1845,2023-01-28,in-store,Chicago,P005,Stoneware Bowl Set (6),Kitchen & Dining,product,1,44.99,42.74,5
ORD-10019,C1845,2023-01-28,in-store,Chicago,P024,Farmhouse Coffee Table,Furniture,product,1,349.99,332.49,5
ORD-10019,C1845,2023-01-28,in-store,Chicago,P009,Chef Knife Set (3pc),Kitchen & Dining,product,1,129.99,123.49,5
ORD-10019,C1845,2023-01-28,in-store,Chicago,S005,Home Staging — Full Home,Services,service,1,1200.00,1140.00,5
ORD-10020,C0780,2023-01-16,online,,P028,Velvet Armchair,Furniture,product,1,449.99,449.99,0
ORD-10021,C0461,2023-01-20,in-store,Los Angeles,P036,Industrial Chandelier,Lighting,product,1,249.99,249.99,0
ORD-10022,C0628,2023-01-16,in-store,Miami,S007,Delivery & Assembly — Standard,Services,service,1,79.00,79.00,0
ORD-10022,C0628,2023-01-16,in-store,Miami,P046,Hand-Woven Area Rug 5x7,Decor,product,2,249.99,499.98,0
ORD-10023,C1612,2023-01-12,in-store,Chicago,P041,Abstract Canvas Print (24x36),Decor,product,1,89.99,80.99,10
ORD-10024,C1281,2023-01-22,in-store,Nashville,P044,Ceramic Vase Collection (3),Decor,product,1,59.99,50.99,15
ORD-10026,C1845,2023-01-18,in-store,Los Angeles,P027,Rattan Accent Chair,Furniture,product,1,249.99,224.99,10
ORD-10026,C1845,2023-01-18,in-store,Los Angeles,P066,Bathroom Shelf Unit,Storage,product,2,69.99,125.98,10
ORD-10027,C0628,2023-01-13,online,,P031,Writing Desk,Furniture,product,1,279.99,279.99,0
ORD-10028,C0584,2023-01-17,in-store,Nashville,P031,Writing Desk,Furniture,product,1,279.99,279.99,0
ORD-10028,C0584,2023-01-17,in-store,Nashville,P005,Stoneware Bowl Set (6),Kitchen & Dining,product,1,44.99,44.99,0
ORD-10028,C0584,2023-01-17,in-store,Nashville,P004,Ceramic Dinner Plate Set (4),Kitchen & Dining,product,2,59.99,119.98,0
ORD-10029,C0640,2023-01-03,online,,P027,Rattan Accent Chair,Furniture,product,1,249.99,249.99,0
ORD-10029,C0640,2023-01-03,online,,P012,Stand Mixer,Kitchen & Dining,product,2,349.99,699.98,0
ORD-10030,C0686,2023-01-21,in-store,New York,P004,Ceramic Dinner Plate Set (4),Kitchen & Dining,product,1,59.99,59.99,0
ORD-10030,C0686,2023-01-21,in-store,New York,P007,Handblown Tumbler Set (6),Kitchen & Dining,product,1,54.99,54.99,0
ORD-10030,C0686,2023-01-21,in-store,New York,S004,Home Staging — Living Room,Services,service,1,450.00,450.00,0
ORD-10030,C0686,2023-01-21,in-store,New York,P044,Ceramic Vase Collection (3),Decor,product,1,59.99,59.99,0
ORD-10031,C0485,2023-01-12,in-store,Portland,P055,Hanging Planter Set (3),Outdoor & Garden,product,1,44.99,44.99,0
